Height,Shoesize,Armspan,Cubit,Attract,CDs,Miles,Work,Change,Sex,Live,Class,Birth,Grade,Tongue
65,9,64,,7,78,60,0,0,f,campus housing,Freshman,Kent County,A,yes
69,9.5,69,,7,30,0,10,0,m,campus housing,Freshman,Kent County,A,yes
67.25,10,69,,6.5,25,0,15,0.35,f,campus housing,Freshman,Kent County,A,yes
69,10,64,16,7,30,0,0,0.52,f,campus housing,Freshman,Kent County,A,yes
72.75,12,53,,7,28,46,20,0,m,family home,Freshman,Kent County,A,yes
76,12.5,99,,7,25,35,0,0,m,family home,Freshman,Kent County,A,yes
69.5,11.5,67.5,,10,100,17.5,7.25,0,f,campus housing,Sophomore,Kent County,A,yes
72,13,71,18,7,10,0,30,5,m,campus housing,Sophomore,Kent County,A,yes
68,9.4,65.5,18,8,20,25,15,0,f,apartment,Sophomore,Kent County,A,yes
61.75,9.5,58.5,,7,70,1,13,0,f,apartment,Sophomore,Kent County,A,yes
71,10,70,20,9,15,30,25,0,f,apartment,Sophomore,Kent County,A,yes
64.5,11,63.75,,7,25,1,27,0.75,f,apartment,Sophomore,Kent County,A,yes
69.5,12,66,,7,,2,0,0,m,apartment,Sophomore,Kent County,A,yes
71.75,12,72,,7,40,1,18,0.86,m,apartment,Sophomore,Kent County,A,yes
63.75,9.5,61,,6,2,11.4,36,0,f,family home,Sophomore,Kent County,A,yes
68,9.75,70,,8,45,10,0,0.48,f,family home,Sophomore,Kent County,A,yes
69,10.75,65.3,,10,20,15,10,0,f,family home,Sophomore,Kent County,A,yes
67,12.25,67.5,,5,40,8,0,1.44,f,family home,Sophomore,Kent County,A,yes
72.75,12.5,73.5,,7,20,25,50,0,m,family home,Sophomore,Kent County,A,yes
72.5,12.75,70,,8,12,17,12,0.05,m,family home,Sophomore,Kent County,A,yes
75,12.75,75,,7,25,22,16,0.25,m,family home,Sophomore,Kent County,A,yes
69.5,10.5,66,,7,0,11,15,0,f,campus housing,Junior,Kent County,A,yes
71,11.5,69,,7,200,0.25,17.5,0,m,apartment,Junior,Kent County,A,yes
67,12,69.25,,8,200,0.5,20,0,m,apartment,Junior,Kent County,A,yes
71,13,70,,10,3,1.5,40,0.15,m,apartment,Junior,Kent County,A,yes
64,8,62,,7,107,7,25,22.95,f,family home,Junior,Kent County,A,yes
68,11,63,18,8,40,25,20,1.23,f,family home,Junior,Kent County,A,yes
68,12,67,18.5,7,50,4,10,0.47,f,family home,Junior,Kent County,A,yes
69.5,12,67.5,,7,200,5.5,34,0.25,m,family home,Junior,Kent County,A,yes
72,12,68.5,,7,60,22,20,0,m,family home,Junior,Kent County,A,yes
73.75,12.75,77,,3,50,8,24,0,m,family home,Junior,Kent County,A,yes
71,11.75,69.5,,8,20,10,0,0,m,other,Junior,Kent County,A,yes
71.25,12,70.5,19.5,8,,8,18,0.82,m,apartment,Senior,Kent County,A,yes
70,12.75,72.5,,,200,25,27.5,0,m,apartment,Senior,Kent County,A,yes
70,8,66,,6,200,30,0,0,m,family home,Senior,Kent County,A,yes
74,13,72.25,,7,100,8,20,0.6,m,family home,Senior,Kent County,A,yes
63,11,61.5,,7,120,15,20,0,f,other,Senior,Kent County,A,yes
69.5,10.75,66,15,9,0,30,7,0,m,family home,Other,Kent County,A,yes
74,12,76,,6,10,10,15,0,m,other,Other,Kent County,A,yes
66,8.5,67.5,,6,80,30,20,0.21,f,family home,,Kent County,A,yes
59.5,10.5,58.75,,8.5,7,0,8,1.1,f,campus housing,Freshman,Ottawa County,A,yes
68,8,61,,7,200,10,32.5,0.64,f,family home,Freshman,Ottawa County,A,yes
62.75,10.25,62,,9,78,10,20,0.7,f,family home,Freshman,Ottawa County,A,yes
75,11,70,,7,150,6,12,1.05,m,family home,Freshman,Ottawa County,A,yes
63,8,63,,8,60,20,12,0.88,f,campus housing,Sophomore,Ottawa County,A,yes
63,9,65.75,,7,75,0.2,12,0.47,f,apartment,Sophomore,Ottawa County,A,yes
68,9.5,66,,6,70,20,12.5,0.8,f,apartment,Sophomore,Ottawa County,A,yes
74.5,12.5,69.75,19,8,14,0,15,0,m,apartment,Sophomore,Ottawa County,A,yes
65.75,8.5,61,,8,10,22,15,0,f,family home,Sophomore,Ottawa County,A,yes
65,10.5,64,,7,25,10,30,0,f,family home,Sophomore,Ottawa County,A,yes
72,10.5,73,,6,75,5,10,0.35,m,family home,Sophomore,Ottawa County,A,yes
61.5,11,61,16,5,3,13,0,0,f,campus housing,Junior,Ottawa County,A,yes
70,11.5,73,,7,50,1,0,0.21,m,apartment,Junior,Ottawa County,A,yes
63.25,9,63,,6.5,20,40,32.5,0,f,family home,Junior,Ottawa County,A,yes
67.75,10.75,60.25,17.5,10,20,10,14.5,0,f,family home,Junior,Ottawa County,A,yes
69,10.75,66,18.25,,20,15,8,5.39,f,family home,Junior,Ottawa County,A,yes
70,12,66.5,18.25,7,100,15,18,1.81,m,family home,Junior,Ottawa County,A,yes
74,12.25,79,,8,250,5,30,0,m,family home,Junior,Ottawa County,A,yes
71.75,9.25,71.5,,5,17,15,28,0,f,other,Senior,Ottawa County,A,yes
66.75,10,64,,7,50,15,12,0.69,f,family home,Other,Ottawa County,A,yes
60,6,54.5,,7,15,90,6,0,f,campus housing,Freshman,Michigan,A,yes
61,6,57.25,,5,20,0,0,0.5,f,campus housing,Freshman,Michigan,A,yes
61.25,6.5,59,,10,100,0,0,0,f,campus housing,Freshman,Michigan,A,yes
64,8.5,62,,8,100,0.25,10,0,f,campus housing,Freshman,Michigan,A,yes
65,9,62,,7,300,0,7.5,0,m,campus housing,Freshman,Michigan,A,yes
67,10,65,,7.5,,0,,0,f,campus housing,Freshman,Michigan,A,yes
65.25,10.25,65.5,17.25,7,0,80,0,0,f,campus housing,Freshman,Michigan,A,yes
65.25,10.5,63,,6,30,180,15,0.13,f,campus housing,Freshman,Michigan,A,yes
67.75,10.5,66.25,,7,50,150,20,0,f,campus housing,Freshman,Michigan,A,yes
69.75,10.5,70.75,,7,5,95,8,0,m,campus housing,Freshman,Michigan,A,yes
70,11.5,72.5,,10,5,0,0,0,m,campus housing,Freshman,Michigan,A,yes
72,12,71,,7,20,150,0,0,m,campus housing,Freshman,Michigan,A,yes
75,12,75.5,,8,1000,0,0,0,m,campus housing,Freshman,Michigan,A,yes
74,13,75.25,,5,20,120,,0,m,campus housing,Freshman,Michigan,A,yes
70,10.5,67,,1,2,1,0,0.03,m,apartment,Freshman,Michigan,A,yes
72,13,69,18.75,6,0,1,0,0,m,apartment,Freshman,Michigan,A,yes
67.75,9,68.75,,7,80,95,0,1.73,f,campus housing,Sophomore,Michigan,A,yes
60.75,9.75,60.75,,7,85,15,20,0.92,f,campus housing,Sophomore,Michigan,A,yes
62,9.75,60.5,14.5,8,50,0,0,0,f,campus housing,Sophomore,Michigan,A,yes
63,10,61.75,,6,25,8,10,0.25,f,campus housing,Sophomore,Michigan,A,yes
64,10,69.75,,8,40,150,0,0.1,f,campus housing,Sophomore,Michigan,A,yes
64.5,10,63,,8,50,0,15,0.77,f,campus housing,Sophomore,Michigan,A,yes
65,10,60.5,16.25,7,0,0,0,0,f,campus housing,Sophomore,Michigan,A,yes
68,10,61,16.5,7,0,0,18,0.35,f,campus housing,Sophomore,Michigan,A,yes
65.25,10.25,61,,10,60,0,0,0,f,campus housing,Sophomore,Michigan,A,yes
67,10.25,61.25,17.75,5,0,0,0,,f,campus housing,Sophomore,Michigan,A,yes
71,10.5,,,8,90,120,0,0.06,m,campus housing,Sophomore,Michigan,A,yes
67,11,66,19,6,20,0,0,1.5,f,campus housing,Sophomore,Michigan,A,yes
72,11,72.5,18.25,5,20,0,17.5,0,m,campus housing,Sophomore,Michigan,A,yes
72.5,11,70.75,18.25,7,25,0,0,0,f,campus housing,Sophomore,Michigan,A,yes
72,11.5,72,21,11,3,200,0,0,m,campus housing,Sophomore,Michigan,A,yes
66,11.75,68,,8,5,0,12,0,f,campus housing,Sophomore,Michigan,A,yes
68,11.75,66.25,17.5,7,15,0,0,0,m,campus housing,Sophomore,Michigan,A,yes
70.5,11.75,69.25,,7,20,0,20,2.36,m,campus housing,Sophomore,Michigan,A,yes
73.25,13,71.5,,7,5,0,0,0,m,campus housing,Sophomore,Michigan,A,yes
64,8.5,64,,6,24,1.25,22.5,0,f,apartment,Sophomore,Michigan,A,yes
68.75,8.75,64.5,,8,,1,32,0,f,apartment,Sophomore,Michigan,A,yes
60.5,9.5,60.75,,5,200,1,0,0,f,apartment,Sophomore,Michigan,A,yes
62.75,9.5,59.5,15.5,7,20,3,0,0.85,f,apartment,Sophomore,Michigan,A,yes
63,9.5,63,,8,3,2,20,0,f,apartment,Sophomore,Michigan,A,yes
63.5,9.5,56,,8,80,0.75,20,0,f,apartment,Sophomore,Michigan,A,yes
69,9.5,67,,6,20,1,0,0,f,apartment,Sophomore,Michigan,A,yes
61,9.75,59,,7,10,15,0,0.55,f,apartment,Sophomore,Michigan,A,yes
63,9.75,61,,6,10,150,0,0.93,f,apartment,Sophomore,Michigan,A,yes
65,9.75,60,17,5,0,0.5,0,1.92,f,apartment,Sophomore,Michigan,A,yes
64,10,63,,8,10,1.7,0,0,f,apartment,Sophomore,Michigan,A,yes
65.5,10,66,,13,7,1.5,25,0,f,apartment,Sophomore,Michigan,A,yes
66,10,63.5,17,5,0,0.5,0,0.22,f,apartment,Sophomore,Michigan,A,yes
66,10,59,19,5,2,150,0,0,f,apartment,Sophomore,Michigan,A,yes
66.125,10,64.125,,7,150,1,0,0.75,m,apartment,Sophomore,Michigan,A,yes
66.75,10,59,16.5,7,10,1,14,0.1,f,apartment,Sophomore,Michigan,A,yes
68,10,64,16.5,6,0,0.5,0,3,f,apartment,Sophomore,Michigan,A,yes
68,10,64.625,,8,80,2,0,0,f,apartment,Sophomore,Michigan,A,yes
68.25,10,61.5,17,7,25,0.25,0,1.25,f,apartment,Sophomore,Michigan,A,yes
65,10.25,65,,10,50,200,0,0,f,apartment,Sophomore,Michigan,A,yes
65.5,10.25,64.5,17,7,8,0,0,0,f,apartment,Sophomore,Michigan,A,yes
66.75,10.25,66.25,,10,30,1,8,0,f,apartment,Sophomore,Michigan,A,yes
61,10.5,56,15,7,10,0.5,11,0,f,apartment,Sophomore,Michigan,A,yes
61.75,10.5,62,,6,23,2,14,1.86,f,apartment,Sophomore,Michigan,A,yes
61.75,10.5,60,,7.3,50,1,0,0,f,apartment,Sophomore,Michigan,A,yes
62,10.5,64.75,,4,30,1,12,0,f,apartment,Sophomore,Michigan,A,yes
64.25,10.5,64.75,,6,50,25,0,3.23,f,apartment,Sophomore,Michigan,A,yes
66,10.5,69,,7.5,,1,27.5,0,m,apartment,Sophomore,Michigan,A,yes
67.75,10.5,66.25,,7,150,,0,0,f,apartment,Sophomore,Michigan,A,yes
68.5,10.5,64.5,,5,20,0.5,0,0,f,apartment,Sophomore,Michigan,A,yes
69,10.5,65,,7,20,1,4,0,f,apartment,Sophomore,Michigan,A,yes
62.5,10.75,62.25,16.75,6,40,1.5,20,0,f,apartment,Sophomore,Michigan,A,yes
62,11,65,,7,150,2,0,0,f,apartment,Sophomore,Michigan,A,yes
64,11,63,,8,35,1,0,0.2,f,apartment,Sophomore,Michigan,A,yes
64,11,62.5,,8,70,115,0,0,f,apartment,Sophomore,Michigan,A,yes
68,11,65,18,10,0,1,0,0,m,apartment,Sophomore,Michigan,A,yes
68,11,66.5,,3,70,1,0,15.85,f,apartment,Sophomore,Michigan,A,yes
70.5,11,72.25,,6,18,1,20,0,m,apartment,Sophomore,Michigan,A,yes
71.5,11.25,71,17.75,7,3,1,20,0,m,apartment,Sophomore,Michigan,A,yes
63,11.3,61.5,,8,20,190,0,0,f,apartment,Sophomore,Michigan,A,yes
63,11.5,63,,6,25,1,0,0.45,f,apartment,Sophomore,Michigan,A,yes
70,11.5,67,18.5,,7,1.5,0,0,m,apartment,Sophomore,Michigan,A,yes
70.5,11.5,67.5,,8,90,150,15,0,m,apartment,Sophomore,Michigan,A,yes
68.25,11.75,69.25,,10,7,4.5,12,0.12,f,apartment,Sophomore,Michigan,A,yes
71.25,11.75,73.25,,2,0,0.25,25,0.56,m,apartment,Sophomore,Michigan,A,yes
71.25,11.75,72.5,20,10,4,2,8,0,m,apartment,Sophomore,Michigan,A,yes
72,12,74,,10,10,0.5,0,1,m,apartment,Sophomore,Michigan,A,yes
72,12,69.5,,8,12,164,0,0.36,m,apartment,Sophomore,Michigan,A,yes
72,12,72,,6,15,15,0,0.25,m,apartment,Sophomore,Michigan,A,yes
72,12,71.5,,5,100,80,12,0,m,apartment,Sophomore,Michigan,A,yes
72.75,12,69.5,,3,30,0.5,10,0,m,apartment,Sophomore,Michigan,A,yes
74,12,74,,5,20,120,0,30,m,apartment,Sophomore,Michigan,A,yes
74.5,12,71.5,,7,8,1.5,0,0,m,apartment,Sophomore,Michigan,A,yes
68,12.25,67,,4,5,0,0,0,m,apartment,Sophomore,Michigan,A,yes
69.5,12.5,66.75,18.25,10,0,1,0,0,m,apartment,Sophomore,Michigan,A,yes
71.5,12.5,67.5,,9,70,0.1,25,0.18,m,apartment,Sophomore,Michigan,A,yes
71.75,12.5,71.25,,7,4,0.75,13.5,0,m,apartment,Sophomore,Michigan,A,yes
77.25,12.75,78,,10,10,2,0,0,m,apartment,Sophomore,Michigan,A,yes
78,13,81,,7,50,0,0,0.78,m,apartment,Sophomore,Michigan,A,yes
65,9.5,66,17.5,9,8,0,0,0.02,f,family home,Sophomore,Michigan,A,yes
64,10,64,,10,,25,25,,f,family home,Sophomore,Michigan,A,yes
71,12,72,,7,100,25,20,0,m,family home,Sophomore,Michigan,A,yes
52.1,12.1,63.8,18.1,7,3,1.5,0,0.16,m,family home,Sophomore,Michigan,A,yes
63.75,9,63.75,,8,50,1,20,0,f,other,Sophomore,Michigan,A,yes
64.75,9.75,67,,8,20,4,0,0.11,f,other,Sophomore,Michigan,A,yes
61.75,7.5,60,,8,60,50,30,0,f,campus housing,Junior,Michigan,A,yes
64,7.5,66,,7,50,80,11,0,f,campus housing,Junior,Michigan,A,yes
59.3,9.3,57.5,,8,25,0,0,0,f,campus housing,Junior,Michigan,A,yes
73,13,73,19.75,8,1,175,0,0,m,campus housing,Junior,Michigan,A,yes
66.5,9,55,,10,10,72,25,2.57,f,apartment,Junior,Michigan,A,yes
64.5,9.5,62.75,16,7,500,10,10,0,f,apartment,Junior,Michigan,A,yes
64.75,9.5,62,,10,20,25,20,0.78,f,apartment,Junior,Michigan,A,yes
63,10,64,18,10,1,,0,0.5,f,apartment,Junior,Michigan,A,yes
63.75,10,61,,9,12,4.5,15,0,f,apartment,Junior,Michigan,A,yes
65.5,10.25,61.5,,7,200,0.5,0,0,f,apartment,Junior,Michigan,A,yes
63.5,10.5,60.5,,6,25,1,17.5,0,f,apartment,Junior,Michigan,A,yes
70.75,10.75,69.25,,8,50,1,0,1.75,f,apartment,Junior,Michigan,A,yes
64.5,11,58.5,,9,50,7,40,1.5,f,apartment,Junior,Michigan,A,yes
68,12,64,17.75,6,20,150,0,0,m,apartment,Junior,Michigan,A,yes
69,12,62,,5,30,25,0,0.59,f,apartment,Junior,Michigan,A,yes
70,12,70.6,,7,15,1,0,0,m,apartment,Junior,Michigan,A,yes
70,12,69,,5,160,0.5,0,0,m,apartment,Junior,Michigan,A,yes
72.5,12,74,,8,20,7,0,1.09,m,apartment,Junior,Michigan,A,yes
75,12,75,20,7,0,1,0,0,m,apartment,Junior,Michigan,A,yes
65.75,12.5,65,,9,18,0,0,0,m,apartment,Junior,Michigan,A,yes
73,12.5,69.5,,8,150,1.5,18,2,m,apartment,Junior,Michigan,A,yes
70,12.75,65.5,16.5,10,50,1,20,0,m,apartment,Junior,Michigan,A,yes
68,13,75,17,,2,0,0,0,m,apartment,Junior,Michigan,A,yes
62.5,9,57,,5,40,8,30,2.75,f,family home,Junior,Michigan,A,yes
62.25,10.75,64,,7,30,30,32,0.48,f,family home,Junior,Michigan,A,yes
68,12.5,70,,7.5,24,20,15,0.76,m,family home,Junior,Michigan,A,yes
69,10,66,,6,5,14,24,5.26,f,other,Junior,Michigan,A,yes
72,10.5,76,,6,0,11,0,0.04,m,other,Junior,Michigan,A,yes
69.75,11,70.25,,6.5,45,15,27.5,0.5,m,other,Junior,Michigan,A,yes
71.75,11.5,73.75,,7,100,15,0,0,m,other,Junior,Michigan,A,yes
83,11.5,77,,1,100,1.5,25,15,m,other,Junior,Michigan,A,yes
69.75,11.75,70.5,,9,0,5.1,0,0,m,other,Junior,Michigan,A,yes
71.25,12,71.5,19,7,50,8,12,0,m,other,Junior,Michigan,A,yes
76,12,76.5,,7,50,15,0,0.35,m,other,Junior,Michigan,A,yes
75,13,70,,7,10,3,0,1,m,other,Junior,Michigan,A,yes
74,13.5,73,,8,20,10,40,0.56,m,other,Junior,Michigan,A,yes
73,12.5,75,19,,20,0,0,0,m,campus housing,Senior,Michigan,A,yes
65,8,67.375,,10,,0.5,12,0.15,f,apartment,Senior,Michigan,A,yes
65,10,60,,7,25,25,20,0.64,f,apartment,Senior,Michigan,A,yes
65.75,11,65.25,,7,40,5,20,0,m,apartment,Senior,Michigan,A,yes
67.75,11,66,,10,35,12,0,1.24,f,apartment,Senior,Michigan,A,yes
71.5,11.25,70.25,19.5,10,7,3,0,0,m,apartment,Senior,Michigan,A,yes
67.75,11.75,67.75,,7,15,1,12,0.6,m,apartment,Senior,Michigan,A,yes
72.75,12,70.5,,5,30,25,39,0,m,apartment,Senior,Michigan,A,yes
62.5,6.5,60,,8,100,0,0,0,f,campus housing,Freshman,U.S.,A,yes
69,11.25,69,,8,45,0,0,0.01,m,campus housing,Freshman,U.S.,A,yes
75,13,71,19,10,0,0,0,0,m,campus housing,Freshman,U.S.,A,yes
63,10.5,57.25,,6,100,30,20,0,f,apartment,Freshman,U.S.,A,yes
66,10,63,16.5,7,20,0,12,0,f,campus housing,Sophomore,U.S.,A,yes
64,10.125,61,,8,40,0.5,0,0,f,campus housing,Sophomore,U.S.,A,yes
64.25,10.25,54.5,14.5,7,55,0,0,0,f,campus housing,Sophomore,U.S.,A,yes
68,11,69,,7,45,0,0,0,f,campus housing,Sophomore,U.S.,A,yes
71,12,73,,8,144,0,0,0,m,campus housing,Sophomore,U.S.,A,yes
64,8.5,62.5,,8,50,190,0,2.85,f,apartment,Sophomore,U.S.,A,yes
65,9.5,69,,8,300,0.5,25,0.35,m,apartment,Sophomore,U.S.,A,yes
62,10,61,,8,20,150,36,0,f,apartment,Sophomore,U.S.,A,yes
66,10,63,,,100,1,0,0,f,apartment,Sophomore,U.S.,A,yes
62,11.25,62.5,,10,100,1,0,0,f,apartment,Sophomore,U.S.,A,yes
66,11.5,61.5,,8,750,32,8,0,f,apartment,Sophomore,U.S.,A,yes
73,12,71.5,,8,100,1.5,0,0,m,apartment,Sophomore,U.S.,A,yes
71.75,12.25,73,18,10.5,3,1.7,0,0.05,m,apartment,Sophomore,U.S.,A,yes
69.25,12.5,70.5,,9.9,18,2,0,0,m,apartment,Sophomore,U.S.,A,yes
72.5,13,75.5,,7,60,23,15,0.31,m,apartment,Sophomore,U.S.,A,yes
75.5,13.25,77.5,,7,35,0.5,20,0,m,apartment,Sophomore,U.S.,A,yes
75,13.75,78.25,20.5,8,0,0.5,0,0,m,apartment,Sophomore,U.S.,A,yes
73,13,75.25,,8,150,6,12,19,m,family home,Sophomore,U.S.,A,yes
70,10.5,63.75,,8,50,0,18,0.96,m,campus housing,Junior,U.S.,A,yes
66.25,11.5,66,,6,8,0.5,0,0,f,campus housing,Junior,U.S.,A,yes
74,13,69,18,7,250,0.5,5,39,m,campus housing,Junior,U.S.,A,yes
74.5,15,75,,10,0,0,32,0,m,campus housing,Junior,U.S.,A,yes
61.5,7,58,,5,30,20,15,0,f,apartment,Junior,U.S.,A,yes
70.75,9.5,71.5,,8,120,0,14,0,m,apartment,Junior,U.S.,A,yes
67,10,67.5,,7,35,10,23,0.97,m,apartment,Junior,U.S.,A,yes
73,10.5,70.125,,7,200,1,0,0.51,m,apartment,Junior,U.S.,A,yes
66.5,11,62,,9.5,50,12,11,1.56,f,apartment,Junior,U.S.,A,yes
73,11,76.75,,8,40,1,0,0,m,apartment,Junior,U.S.,A,yes
70.75,11.5,73,19.5,10,3,2,20,0,m,apartment,Junior,U.S.,A,yes
68.75,11.75,71,,9,75,2,0,0,m,apartment,Junior,U.S.,A,yes
71,11.75,71,,6,63,10,0,0,m,apartment,Junior,U.S.,A,yes
75,13,71.5,,6,3,1,20,0,m,apartment,Junior,U.S.,A,yes
65,10.5,67,,5,32,25,27.5,0.99,f,family home,Junior,U.S.,A,yes
68,11,67,17.5,7,0,37,12,0.45,f,family home,Junior,U.S.,A,yes
62,10.5,62.5,,10,0,3,20,0,f,apartment,Senior,U.S.,A,yes
66,9.25,65.75,,5,75,7,40,0,f,family home,Senior,U.S.,A,yes
66,11,65,,5,,16,0,0.44,f,family home,Senior,U.S.,A,yes
64,10.5,61,,5,0,10,0,0,f,other,Senior,U.S.,A,yes
69.5,10.75,67,,7,40,2,0,0,m,other,Senior,U.S.,A,yes
72.5,11.5,67,20,7,10,1,0,0,m,apartment,Sophomore,Not U.S.,A,yes
68.75,12,64,,9,0,1.23,0,0.51,m,apartment,Sophomore,Not U.S.,A,yes
72,12.5,73,,8,65,1,,0.68,m,apartment,Sophomore,Not U.S.,A,yes
61.75,9.5,61.5,,6,0,5,7.5,0.6,f,family home,Sophomore,Not U.S.,A,yes
60,10,57.5,14,7,20,25,25,0.2,f,family home,Sophomore,Not U.S.,A,yes
61.25,7,61.5,,5,61,2,0,20.2,f,apartment,Junior,Not U.S.,A,yes
67,10,63,,6,,1,0,20,f,apartment,Junior,Not U.S.,A,yes
62,9.5,58,,7,50,20,15,0.75,f,family home,Other,Not U.S.,A,yes
66.5,12.25,65.75,,7,20,15,14,0,m,campus housing,Freshman,Kent County,B,yes
66.5,11,66.5,17.5,7,30,1,6.5,0.04,f,campus housing,Sophomore,Kent County,B,yes
66.5,12.25,67,,6,150,0,0,0,f,campus housing,Sophomore,Kent County,B,yes
66.25,10.5,67,15.5,7,30,1,20,0,f,apartment,Sophomore,Kent County,B,yes
77,14,80,,10,15,6,10,0,m,apartment,Sophomore,Kent County,B,yes
64,9,63,,7,18,25,12,0,f,family home,Sophomore,Kent County,B,yes
67,9.5,64,,6,10,20,26,0,f,family home,Sophomore,Kent County,B,yes
63.25,10,60,14.2,7,50,25,22.5,2,f,family home,Sophomore,Kent County,B,yes
